,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
32126,201800032127,8,1802,1,2,9,1.0,48.06536,7.36415
32127,201800032128,9,14,5,2,2,1.0,48.08383,7.34753
32128,201800032129,9,1516,1,2,5,1.0,48.06951,7.3652
32129,201800032130,9,1956,1,2,3,1.0,48.07325,7.3596
32130,201800032131,9,1645,1,2,1,1.0,48.0773,7.3372
32131,201800032132,9,1737,1,2,1,1.0,48.10606,7.3632
32132,201800032133,9,1821,1,2,1,1.0,48.08034,7.36071
32133,201800032134,9,1219,1,2,1,1.0,48.07822,7.3331
32134,201800032135,9,800,1,2,3,1.0,48.06798,7.34411
32135,201800032136,10,730,2,2,2,1.0,48.07377,7.34183
32136,201800032137,10,800,2,2,1,1.0,48.07975,7.36365
32137,201800032138,10,1603,1,2,1,1.0,48.0841,7.3452
32138,201800032139,11,1215,1,2,1,1.0,48.0708,7.36252
32139,201800032140,11,702,2,2,1,1.0,48.0745,7.34852
32140,201800032141,12,1157,1,2,3,1.0,48.07844,7.37258
32141,201800032142,12,1457,1,2,2,1.0,48.06967,7.36526
32142,201800032143,12,1802,5,2,1,8.0,48.0637,7.34001
32143,201800032144,12,1530,1,2,9,7.0,48.08845,7.35779
32144,201800032145,12,1818,5,2,1,8.0,48.07796,7.34895
32145,201800032146,12,1845,5,2,9,2.0,48.07512,7.36668
32146,201800032147,12,310,5,2,1,2.0,48.07224,7.34725
32147,201800032148,1,1545,1,2,1,1.0,47.7435,7.32933
32148,201800032149,1,1709,2,2,1,1.0,47.76014,7.34464
32149,201800032150,1,1639,2,1,1,3.0,47.77373,7.36624
32150,201800032151,2,930,1,2,3,1.0,47.73983,7.3026
32151,201800032152,2,830,1,2,6,1.0,47.74647,7.35755
32152,201800032153,4,1305,1,2,9,1.0,47.73176,7.31001
32153,201800032154,4,1930,1,2,2,1.0,47.75237,7.34278
32154,201800032155,4,1630,1,2,3,1.0,47.75549,7.33256
32155,201800032156,4,1950,1,2,1,1.0,47.75767,7.3427
32156,201800032157,4,1757,1,2,1,1.0,47.77884,7.33545
32157,201800032158,5,1650,1,2,2,1.0,47.75165,7.35758
32158,201800032159,5,1903,1,2,1,1.0,47.74328,7.32089
32159,201800032160,5,1725,1,2,1,1.0,47.74509,7.34191
32160,201800032161,6,1700,1,1,1,1.0,47.76523,7.33133
32161,201800032162,6,1552,1,2,1,1.0,47.74161,47.34486
32162,201800032163,6,1600,1,2,6,1.0,47.75388,7.31815
32163,201800032164,6,1747,1,2,1,1.0,47.72627,7.33989
32164,201800032165,7,842,1,2,2,1.0,47.74483,7.32744
32165,201800032166,7,1455,1,2,1,1.0,47.75448,7.33489
32166,201800032167,7,255,5,2,2,1.0,47.75041,7.32999
32167,201800032168,7,1540,2,2,3,1.0,47.77393,7.32784
32168,201800032169,9,2010,5,2,1,1.0,47.74085,7.33808
32169,201800032170,9,1240,1,2,4,1.0,47.73596,7.34072
32170,201800032171,10,1225,1,2,1,1.0,47.74609,7.34244
32171,201800032172,10,2010,4,2,1,1.0,47.76365,7.30952
32172,201800032173,10,635,3,1,9,1.0,47.76538,7.33171
32173,201800032174,11,1535,1,2,4,1.0,47.73949,7.35404
32174,201800032175,11,2120,5,2,1,1.0,47.74573,7.31703
32175,201800032176,11,2350,5,2,9,1.0,47.74942,7.33161
32176,201800032177,11,1745,5,2,1,1.0,47.74008,7.30406
32177,201800032178,11,1755,3,2,1,1.0,47.74443,7.31039
32178,201800032179,11,1125,1,1,9,1.0,47.75264,7.28978
32179,201800032180,12,1900,5,2,3,1.0,47.73853,7.30093
32180,201800032181,12,1650,2,2,1,1.0,47.77303,7.32719
32181,201800032182,12,1200,1,2,2,1.0,47.73857,7.29475
32182,201800032183,4,1545,1,2,2,1.0,47.5839,7.55966
32183,201800032184,6,1835,1,2,2,1.0,47.58269,7.57195
32184,201800032185,6,1825,1,2,1,1.0,47.58606,7.56368
32185,201800032186,7,1835,1,2,3,1.0,47.58901,7.57042
32186,201800032187,8,2210,5,2,6,3.0,47.59377,7.55533
32187,201800032188,7,644,1,2,1,1.0,47.57644,7.55121
32188,201800032189,8,1150,1,2,1,1.0,47.58978,7.55678
32189,201800032190,10,1700,1,2,1,1.0,47.58325,7.55831
32190,201800032191,10,1337,1,2,6,1.0,47.59343,7.55459
32191,201800032192,10,1532,1,2,3,1.0,47.57824,7.57101
32192,201800032193,12,1915,5,2,3,2.0,47.59673,7.55325
32193,201800032194,12,830,2,2,1,3.0,47.60575,7.54131
32194,201800032195,5,1105,1,2,1,8.0,47.79966,7.34405
32195,201800032196,6,1620,1,2,1,1.0,47.78597,7.33337
32196,201800032197,7,1640,1,2,6,7.0,47.79409,7.32346
32197,201800032198,7,1615,1,2,2,7.0,47.79374,7.3154
32198,201800032199,8,1500,1,2,2,1.0,47.81371,7.33028
32199,201800032200,8,1400,1,1,1,7.0,47.7865,7.3189
32200,201800032201,9,905,1,2,1,7.0,47.80528,7.33675
32201,201800032202,10,1245,1,2,1,1.0,47.81666,7.30868
32202,201800032203,10,1830,3,1,1,2.0,47.78681,7.31796
32203,201800032204,10,935,1,2,1,2.0,47.81228,7.31093
32204,201800032205,1,1655,1,2,3,1.0,45.91449,5.21755
32205,201800032206,1,1900,3,1,6,2.0,45.90238,5.20019
32206,201800032207,3,1540,1,2,3,1.0,45.81497,5.18409
32207,201800032208,5,1925,1,1,1,1.0,45.99838,5.16287
32208,201800032209,7,1545,1,1,1,1.0,45.98608,5.11402
32209,201800032210,9,1045,1,2,9,1.0,45.90216,5.19361
32210,201800032211,1,735,2,1,1,3.0,45.95528,4.88698
32211,201800032212,1,1738,5,2,1,2.0,45.91375,4.94172
32212,201800032213,1,1815,5,2,9,1.0,45.95891,4.90157
32213,201800032214,1,1300,1,2,2,1.0,45.89549,4.93114
32214,201800032215,3,2010,3,1,1,1.0,45.99238,5.04854
32215,201800032216,3,815,1,1,1,1.0,45.97741,4.96215
32216,201800032217,4,1825,1,1,2,1.0,46.08531,5.0257
32217,201800032218,4,950,1,1,1,1.0,45.88653,4.88281
32218,201800032219,4,1615,1,1,1,1.0,45.92616,4.96125
32219,201800032220,6,1800,1,2,9,1.0,45.92045,4.95388
32220,201800032221,6,1012,1,1,2,1.0,45.96681,4.93818
32221,201800032222,7,1115,1,1,3,1.0,45.88287,4.96905
