Num_Acc,catv,obs,obsm,manv
201800000297,33,13,0,17
201800000298,07,00,1,00
201800000299,31,00,0,02
201800000300,33,00,0,23
201800000301,07,01,0,01
201800000301,07,00,0,23
201800000302,33,09,0,01
201800000303,07,00,1,01
201800000304,07,00,1,01
201800000305,13,00,0,21
201800000305,13,00,2,13
201800000306,07,06,0,01
201800000307,13,00,2,18
201800000307,07,00,2,18
201800000308,07,00,2,00
201800000308,07,00,2,01
201800000309,07,07,2,02
201800000309,07,00,2,15
201800000310,36,12,0,01
201800000311,07,00,0,01
201800000311,01,00,2,16
201800000312,07,00,0,00
201800000312,33,00,2,01
201800000313,10,00,2,11
201800000313,33,00,2,02
201800000314,33,00,2,01
201800000314,07,00,2,11
201800000315,02,00,1,01
201800000316,33,14,0,01
201800000317,01,03,0,15
201800000318,07,00,1,16
201800000319,33,00,2,02
201800000319,07,00,0,02
201800000319,07,00,2,05
201800000320,31,00,2,01
201800000320,07,00,2,00
201800000321,33,00,0,00
201800000322,07,00,2,01
201800000322,07,00,2,05
201800000323,07,00,2,15
201800000323,02,00,2,01
201800000324,07,02,0,01
201800000324,15,00,0,23
201800000325,02,00,2,01
201800000325,07,00,2,09
201800000326,01,00,2,01
201800000326,07,00,9,12
201800000327,07,15,0,01
201800000328,07,00,2,19
201800000328,31,00,2,01
201800000329,07,00,2,01
201800000329,07,00,2,15
201800000329,07,00,2,23
201800000330,07,09,0,01
201800000331,07,00,2,01
201800000331,07,00,2,01
201800000332,31,00,0,23
201800000333,07,15,0,01
201800000334,02,00,2,15
201800000334,21,00,2,01
201800000335,07,00,2,05
201800000335,15,00,2,01
201800000336,07,00,2,01
201800000336,07,00,2,13
201800000337,07,00,2,15
201800000337,07,00,2,01
201800000338,15,00,2,01
201800000338,33,00,2,13
201800000339,33,00,2,01
201800000339,07,00,2,19
201800000340,17,00,2,01
201800000340,17,00,2,13
201800000341,07,00,2,02
201800000341,33,00,2,02
201800000341,07,00,2,02
201800000341,07,00,0,02
201800000342,07,00,2,01
201800000342,07,00,2,01
201800000343,07,00,2,13
201800000343,07,00,2,01
201800000344,07,02,0,01
201800000345,02,00,0,01
201800000346,07,00,2,13
201800000346,07,00,2,01
201800000347,07,02,0,00
201800000348,31,00,2,02
201800000348,07,00,2,02
201800000349,07,00,2,15
201800000349,33,00,2,17
201800000350,07,09,0,01
201800000351,07,00,2,13
201800000351,07,00,2,01
201800000352,07,00,2,11
201800000352,33,00,2,03
201800000353,07,07,0,00
201800000354,07,06,0,00
201800000355,07,00,2,01
201800000355,07,00,2,01
201800000356,01,00,2,13
201800000356,07,00,9,01
201800000357,02,00,2,01
201800000357,03,00,2,19
201800000358,02,00,0,00
201800000359,07,00,2,01
201800000359,15,00,2,01
201800000360,07,00,1,01
201800000361,07,00,2,16
201800000361,01,00,0,16
201800000362,07,00,2,01
201800000362,03,00,2,01
201800000362,07,00,2,06
201800000363,07,00,2,17
201800000363,15,00,2,01
201800000363,07,00,2,15
201800000364,02,12,0,01
201800000365,07,13,0,01
201800000366,07,01,0,01
201800000367,07,02,0,01
201800000368,31,00,2,15
201800000368,10,00,2,02
201800000369,02,00,2,01
201800000369,07,00,2,15
201800000370,07,00,2,01
201800000370,07,00,2,01
201800000371,07,00,0,01
201800000371,07,13,0,01
201800000372,07,00,2,01
201800000372,07,00,2,19
201800000373,15,00,1,09
201800000374,02,15,0,13
201800000375,07,13,0,01
201800000376,07,01,2,13
201800000376,07,00,2,01
201800000377,07,00,0,01
201800000378,15,00,2,01
201800000378,07,00,2,13
