Num_Acc,grav
201800000259,3
201800000260,4
201800000260,1
201800000260,1
201800000260,1
201800000261,4
201800000262,3
201800000262,1
201800000263,4
201800000263,4
201800000264,4
201800000264,1
201800000265,3
201800000266,2
201800000266,1
201800000267,3
201800000267,1
201800000268,3
201800000268,1
201800000269,3
201800000270,4
201800000270,3
201800000270,3
201800000271,4
201800000271,1
201800000272,3
201800000273,3
201800000274,3
201800000274,1
201800000274,3
201800000275,3
201800000275,3
201800000276,1
201800000276,4
201800000277,1
201800000277,1
201800000277,3
201800000278,3
201800000279,4
201800000279,1
201800000280,3
201800000281,1
201800000281,4
201800000282,1
201800000282,4
201800000283,2
201800000284,1
201800000284,4
201800000285,1
201800000285,3
201800000286,2
201800000287,3
201800000288,4
201800000289,1
201800000289,1
201800000289,3
201800000290,1
201800000290,2
201800000291,1
201800000291,3
201800000292,4
201800000292,4
201800000292,4
201800000292,1
201800000292,1
201800000292,3
201800000292,1
201800000293,1
201800000293,3
201800000294,3
201800000294,4
201800000295,1
201800000295,3
201800000295,1
201800000295,1
201800000296,1
201800000296,3
201800000297,3
201800000298,1
201800000298,4
201800000299,4
201800000300,3
201800000301,4
201800000301,1
201800000302,3
201800000303,1
201800000303,4
201800000304,1
201800000304,3
201800000305,1
201800000305,4
201800000306,3
201800000307,1
201800000307,1
201800000307,3
201800000308,4
201800000308,4
201800000309,3
201800000309,1
201800000310,3
201800000311,1
201800000311,3
201800000312,1
201800000312,3
201800000313,1
201800000313,3
201800000314,3
201800000314,1
201800000315,1
201800000315,4
201800000316,3
201800000317,3
201800000318,1
201800000318,3
201800000319,4
201800000319,1
201800000319,1
201800000320,4
201800000320,1
201800000321,4
201800000321,1
201800000322,3
201800000322,4
201800000322,3
201800000323,1
201800000323,4
201800000324,4
201800000324,1
201800000325,3
201800000325,1
201800000326,3
201800000326,1
201800000327,3
201800000328,1
201800000328,3
201800000329,4
201800000329,4
201800000329,1
201800000330,3
201800000331,1
201800000331,4
201800000332,4
201800000333,1
201800000333,4
201800000334,3
201800000334,1
201800000335,3
201800000335,1
201800000336,4
201800000336,1
201800000337,4
201800000337,4
201800000337,4
201800000338,1
201800000338,4
201800000339,3
201800000339,1
201800000340,4
201800000340,3
201800000341,1
201800000341,3
201800000341,1
201800000341,1
201800000342,4
201800000342,4
201800000343,3
201800000343,4
201800000344,4
201800000344,3
201800000344,4
201800000344,3
201800000345,4
201800000346,2
201800000346,4
201800000347,3
201800000348,3
201800000348,1
201800000349,1
201800000349,3
201800000350,3
201800000351,3
201800000351,1
201800000351,1
201800000351,1
201800000351,1
201800000352,1
201800000352,4
201800000353,4
201800000354,1
201800000354,3
201800000355,1
201800000355,3
201800000356,2
201800000356,1
201800000357,2
201800000357,1
201800000358,3
201800000359,3
201800000359,4
201800000359,4
201800000359,1
201800000360,1
201800000360,3
201800000361,1
201800000361,3
201800000362,3
201800000362,1
201800000362,4
201800000363,3
201800000363,1
201800000363,1
201800000363,1
201800000363,1
201800000364,3
201800000365,3
201800000366,2
201800000367,2
201800000368,3
201800000368,1
201800000369,3
201800000369,1
201800000370,4
201800000370,4
201800000371,1
201800000371,3
201800000372,1
201800000372,4
201800000372,4
201800000373,1
201800000373,2
201800000374,3
201800000375,4
201800000375,4
201800000375,3
201800000375,4
201800000376,3
201800000376,1
201800000377,3
201800000378,1
201800000378,3
201800000379,3
201800000379,4
201800000380,1
201800000380,1
201800000380,3
201800000381,3
201800000381,4
201800000382,1
201800000382,4
201800000382,3
201800000383,1
201800000383,4
201800000383,3
201800000384,3
201800000385,1
201800000385,3
201800000386,1
201800000386,4
201800000386,4
201800000386,1
201800000386,1
201800000386,1
201800000386,1
201800000387,1
201800000387,3
201800000387,3
201800000388,2
201800000388,3
201800000388,1
201800000388,3
201800000389,3
201800000390,1
201800000390,3
201800000391,3
201800000392,1
201800000392,1
201800000392,1
201800000392,3
201800000393,2
201800000394,3
201800000395,1
201800000395,3
201800000396,3
201800000396,1
201800000397,1
201800000397,4
201800000398,3
201800000398,4
201800000399,3
201800000399,2
201800000399,4
201800000399,4
201800000399,4
201800000400,1
201800000400,4
